date,decision,beige_books,minutes,statements
2001-06-27,LOWER,,minutes/minutes_2001-06-27.txt,statements/statement_2001-06-27.txt
2001-08-21,LOWER,,minutes/minutes_2001-08-21.txt,statements/statement_2001-08-21.txt
2001-09-17,LOWER,,,statements/statement_2001-09-17.txt
2001-10-02,LOWER,,minutes/minutes_2001-10-02.txt,statements/statement_2001-10-02.txt
2001-11-06,LOWER,,minutes/minutes_2001-11-06.txt,statements/statement_2001-11-06.txt
2001-12-11,LOWER,,minutes/minutes_2001-12-11.txt,statements/statement_2001-12-11.txt
2002-01-30,MAINTAIN,,minutes/minutes_2002-01-30.txt,statements/statement_2002-01-30.txt
2002-03-19,MAINTAIN,,minutes/minutes_2002-03-19.txt,statements/statement_2002-03-19.txt
2002-05-07,MAINTAIN,,minutes/minutes_2002-05-07.txt,statements/statement_2002-05-07.txt
2002-06-26,MAINTAIN,,minutes/minutes_2002-06-26.txt,statements/statement_2002-06-26.txt
2002-08-13,MAINTAIN,,minutes/minutes_2002-08-13.txt,statements/statement_2002-08-13.txt
2002-09-24,MAINTAIN,,minutes/minutes_2002-09-24.txt,statements/statement_2002-09-24.txt
2002-11-06,LOWER,,minutes/minutes_2002-11-06.txt,statements/statement_2002-11-06.txt
2002-12-10,MAINTAIN,,minutes/minutes_2002-12-10.txt,statements/statement_2002-12-10.txt
2003-01-29,MAINTAIN,,minutes/minutes_2003-01-29.txt,statements/statement_2003-01-29.txt
2003-03-18,MAINTAIN,,minutes/minutes_2003-03-18.txt,statements/statement_2003-03-18.txt
2003-05-06,MAINTAIN,,minutes/minutes_2003-05-06.txt,statements/statement_2003-05-06.txt
2003-06-25,LOWER,,minutes/minutes_2003-06-25.txt,statements/statement_2003-06-25.txt
2003-08-12,MAINTAIN,,minutes/minutes_2003-08-12.txt,statements/statement_2003-08-12.txt
2003-09-16,MAINTAIN,,minutes/minutes_2003-09-16.txt,statements/statement_2003-09-16.txt
2003-10-28,MAINTAIN,,minutes/minutes_2003-10-28.txt,statements/statement_2003-10-28.txt
2003-12-09,MAINTAIN,,minutes/minutes_2003-12-09.txt,statements/statement_2003-12-09.txt
2004-01-28,MAINTAIN,,minutes/minutes_2004-01-28.txt,statements/statement_2004-01-28.txt
2004-03-16,MAINTAIN,,minutes/minutes_2004-03-16.txt,statements/statement_2004-03-16.txt
2004-05-04,MAINTAIN,,minutes/minutes_2004-05-04.txt,statements/statement_2004-05-04.txt
2004-06-30,RAISE,,minutes/minutes_2004-06-30.txt,statements/statement_2004-06-30.txt
2004-08-10,RAISE,,minutes/minutes_2004-08-10.txt,statements/statement_2004-08-10.txt
2004-09-21,RAISE,,minutes/minutes_2004-09-21.txt,statements/statement_2004-09-21.txt
2004-11-10,RAISE,,minutes/minutes_2004-11-10.txt,statements/statement_2004-11-10.txt
2004-12-14,RAISE,,minutes/minutes_2004-12-14.txt,statements/statement_2004-12-14.txt
2005-02-02,RAISE,,minutes/minutes_2005-02-02.txt,statements/statement_2005-02-02.txt
2005-03-22,RAISE,,minutes/minutes_2005-03-22.txt,statements/statement_2005-03-22.txt
2005-05-03,RAISE,,minutes/minutes_2005-05-03.txt,statements/statement_2005-05-03.txt
2005-06-30,RAISE,,minutes/minutes_2005-06-30.txt,statements/statement_2005-06-30.txt
2005-08-09,RAISE,,minutes/minutes_2005-08-09.txt,statements/statement_2005-08-09.txt
2005-09-20,RAISE,,minutes/minutes_2005-09-20.txt,statements/statement_2005-09-20.txt
2005-11-01,RAISE,,minutes/minutes_2005-11-01.txt,statements/statement_2005-11-01.txt
2005-12-13,RAISE,,minutes/minutes_2005-12-13.txt,statements/statement_2005-12-13.txt
2006-01-31,RAISE,,minutes/minutes_2006-01-31.txt,statements/statement_2006-01-31.txt
2006-03-28,RAISE,,minutes/minutes_2006-03-28.txt,statements/statement_2006-03-28.txt
2006-05-10,RAISE,,minutes/minutes_2006-05-10.txt,statements/statement_2006-05-10.txt
2006-06-29,RAISE,,minutes/minutes_2006-06-29.txt,statements/statement_2006-06-29.txt
2006-08-08,MAINTAIN,,minutes/minutes_2006-08-08.txt,statements/statement_2006-08-08.txt
2006-09-20,MAINTAIN,,minutes/minutes_2006-09-20.txt,statements/statement_2006-09-20.txt
2006-10-25,MAINTAIN,,minutes/minutes_2006-10-25.txt,statements/statement_2006-10-25.txt
2006-12-12,MAINTAIN,,minutes/minutes_2006-12-12.txt,statements/statement_2006-12-12.txt
2007-01-31,MAINTAIN,,minutes/minutes_2007-01-31.txt,statements/statement_2007-01-31.txt
2007-03-21,MAINTAIN,,minutes/minutes_2007-03-21.txt,statements/statement_2007-03-21.txt
2007-05-09,MAINTAIN,,minutes/minutes_2007-05-09.txt,statements/statement_2007-05-09.txt
2007-06-28,MAINTAIN,,minutes/minutes_2007-06-28.txt,
2007-08-07,MAINTAIN,,minutes/minutes_2007-08-07.txt,statements/statement_2007-08-07.txt
2007-08-17,MAINTAIN,,,statements/statement_2007-08-17.txt
2007-09-18,LOWER,,minutes/minutes_2007-09-18.txt,statements/statement_2007-09-18.txt
2007-10-31,LOWER,,,statements/statement_2007-10-31.txt
2007-12-11,LOWER,,,statements/statement_2007-12-11.txt
2008-01-22,LOWER,,,statements/statement_2008-01-22.txt
2008-01-30,LOWER,,,statements/statement_2008-01-30.txt
2008-03-18,LOWER,beige_books/beige_book_20080305.pdf,,statements/statement_2008-03-18.txt
2008-04-30,LOWER,beige_books/beige_book_20080416.pdf,,statements/statement_2008-04-30.txt
2008-06-25,MAINTAIN,beige_books/beige_book_20080611.pdf,,statements/statement_2008-06-25.txt
2008-08-05,MAINTAIN,beige_books/beige_book_20080723.pdf,,statements/statement_2008-08-05.txt
2008-09-16,MAINTAIN,beige_books/beige_book_20080903.pdf,,statements/statement_2008-09-16.txt
2008-10-08,LOWER,,,statements/statement_2008-10-08.txt
2008-10-29,LOWER,beige_books/beige_book_20081015.pdf,,statements/statement_2008-10-29.txt
2008-12-16,LOWER,beige_books/beige_book_20081203.pdf,,statements/statement_2008-12-16.txt
2009-01-28,MAINTAIN,beige_books/beige_book_20090114.pdf,,statements/statement_2009-01-28.txt
2009-03-18,MAINTAIN,beige_books/beige_book_20090304.pdf,,statements/statement_2009-03-18.txt
2009-04-29,MAINTAIN,beige_books/beige_book_20090415.pdf,,statements/statement_2009-04-29.txt
2009-06-24,MAINTAIN,beige_books/beige_book_20090610.pdf,,statements/statement_2009-06-24.txt
2009-08-12,MAINTAIN,beige_books/beige_book_20090729.pdf,,statements/statement_2009-08-12.txt
2009-09-23,MAINTAIN,beige_books/beige_book_20090909.pdf,,statements/statement_2009-09-23.txt
2009-11-04,MAINTAIN,beige_books/beige_book_20091021.pdf,,statements/statement_2009-11-04.txt
2009-12-16,MAINTAIN,beige_books/beige_book_20091202.pdf,,statements/statement_2009-12-16.txt
2010-01-27,MAINTAIN,beige_books/beige_book_20100113.pdf,,statements/statement_2010-01-27.txt
2010-03-16,MAINTAIN,beige_books/beige_book_20100303.pdf,,statements/statement_2010-03-16.txt
2010-04-28,MAINTAIN,beige_books/beige_book_20100414.pdf,,statements/statement_2010-04-28.txt
2010-06-23,MAINTAIN,beige_books/beige_book_20100609.pdf,,statements/statement_2010-06-23.txt
2010-08-10,MAINTAIN,beige_books/beige_book_20100728.pdf,,statements/statement_2010-08-10.txt
2010-09-21,MAINTAIN,beige_books/beige_book_20100908.pdf,,statements/statement_2010-09-21.txt
2010-11-03,MAINTAIN,beige_books/beige_book_20101020.pdf,,statements/statement_2010-11-03.txt
2010-12-14,MAINTAIN,beige_books/beige_book_20101201.pdf,,statements/statement_2010-12-14.txt
2011-01-26,MAINTAIN,beige_books/beige_book_20110112.pdf,,statements/statement_2011-01-26.txt
2011-03-15,MAINTAIN,beige_books/beige_book_20110302.pdf,,statements/statement_2011-03-15.txt
2011-04-27,MAINTAIN,beige_books/beige_book_20110413.pdf,,statements/statement_2011-04-27.txt
2011-06-22,MAINTAIN,beige_books/beige_book_20110608.pdf,,statements/statement_2011-06-22.txt
2011-08-09,MAINTAIN,beige_books/beige_book_20110727.pdf,,statements/statement_2011-08-09.txt
2011-09-21,MAINTAIN,beige_books/beige_book_20110907.pdf,,statements/statement_2011-09-21.txt
2011-11-02,MAINTAIN,beige_books/beige_book_20111019.pdf,,statements/statement_2011-11-02.txt
2011-12-13,MAINTAIN,beige_books/beige_book_20111130.pdf,,statements/statement_2011-12-13.txt
2012-01-25,MAINTAIN,beige_books/beige_book_20120111.pdf,,statements/statement_2012-01-25.txt
2012-03-13,MAINTAIN,beige_books/beige_book_20120229.pdf,,statements/statement_2012-03-13.txt
2012-04-25,MAINTAIN,beige_books/beige_book_20120411.pdf,,statements/statement_2012-04-25.txt
2012-06-20,MAINTAIN,beige_books/beige_book_20120606.pdf,,statements/statement_2012-06-20.txt
2012-08-01,MAINTAIN,beige_books/beige_book_20120718.pdf,,statements/statement_2012-08-01.txt
2012-09-13,MAINTAIN,beige_books/beige_book_20120829.pdf,,statements/statement_2012-09-13.txt
2012-10-24,MAINTAIN,beige_books/beige_book_20121010.pdf,,statements/statement_2012-10-24.txt
2012-12-12,MAINTAIN,beige_books/beige_book_20121128.pdf,,statements/statement_2012-12-12.txt
2013-01-30,MAINTAIN,beige_books/beige_book_20130116.pdf,,statements/statement_2013-01-30.txt
2013-03-20,MAINTAIN,beige_books/beige_book_20130306.pdf,,statements/statement_2013-03-20.txt
2013-05-01,MAINTAIN,beige_books/beige_book_20130417.pdf,,statements/statement_2013-05-01.txt
2013-06-19,MAINTAIN,beige_books/beige_book_20130605.pdf,,statements/statement_2013-06-19.txt
2013-07-31,MAINTAIN,beige_books/beige_book_20130717.pdf,,statements/statement_2013-07-31.txt
2013-09-18,MAINTAIN,beige_books/beige_book_20130904.pdf,,statements/statement_2013-09-18.txt
2013-10-30,MAINTAIN,beige_books/beige_book_20131016.pdf,,statements/statement_2013-10-30.txt
2013-12-18,MAINTAIN,beige_books/beige_book_20131204.pdf,,statements/statement_2013-12-18.txt
2014-01-29,MAINTAIN,beige_books/beige_book_20140115.pdf,,statements/statement_2014-01-29.txt
2014-03-19,MAINTAIN,beige_books/beige_book_20140305.pdf,,statements/statement_2014-03-19.txt
2014-04-30,MAINTAIN,beige_books/beige_book_20140416.pdf,,statements/statement_2014-04-30.txt
2014-06-18,MAINTAIN,beige_books/beige_book_20140604.pdf,,statements/statement_2014-06-18.txt
2014-07-30,MAINTAIN,beige_books/beige_book_20140716.pdf,,statements/statement_2014-07-30.txt
2014-09-17,MAINTAIN,beige_books/beige_book_20140903.pdf,,statements/statement_2014-09-17.txt
2014-10-29,MAINTAIN,beige_books/beige_book_20141015.pdf,,statements/statement_2014-10-29.txt
2014-12-17,MAINTAIN,beige_books/beige_book_20141203.pdf,,statements/statement_2014-12-17.txt
2015-01-28,MAINTAIN,beige_books/beige_book_20150114.pdf,,statements/statement_2015-01-28.txt
2015-03-18,MAINTAIN,beige_books/beige_book_20150304.pdf,,statements/statement_2015-03-18.txt
2015-04-29,MAINTAIN,beige_books/beige_book_20150415.pdf,,statements/statement_2015-04-29.txt
2015-06-17,MAINTAIN,beige_books/beige_book_20150603.pdf,,statements/statement_2015-06-17.txt
2015-07-29,MAINTAIN,beige_books/beige_book_20150715.pdf,,statements/statement_2015-07-29.txt
2015-09-17,MAINTAIN,beige_books/beige_book_20150902.pdf,,statements/statement_2015-09-17.txt
2015-10-28,MAINTAIN,beige_books/beige_book_20151014.pdf,,statements/statement_2015-10-28.txt
2015-12-16,RAISE,beige_books/beige_book_20151202.pdf,,statements/statement_2015-12-16.txt
2016-01-27,MAINTAIN,beige_books/beige_book_20160113.pdf,,statements/statement_2016-01-27.txt
2016-03-16,MAINTAIN,beige_books/beige_book_20160302.pdf,,statements/statement_2016-03-16.txt
2016-04-27,MAINTAIN,beige_books/beige_book_20160413.pdf,,statements/statement_2016-04-27.txt
2016-06-15,MAINTAIN,beige_books/beige_book_20160601.pdf,,statements/statement_2016-06-15.txt
2016-07-27,MAINTAIN,beige_books/beige_book_20160713.pdf,,statements/statement_2016-07-27.txt
2016-09-21,MAINTAIN,beige_books/beige_book_20160907.pdf,,statements/statement_2016-09-21.txt
2016-11-02,MAINTAIN,beige_books/beige_book_20161019.pdf,,statements/statement_2016-11-02.txt
2016-12-14,RAISE,beige_books/beige_book_20161130.pdf,,statements/statement_2016-12-14.txt
2017-02-01,MAINTAIN,beige_books/beige_book_20170118.pdf,,statements/statement_2017-02-01.txt
2017-03-15,RAISE,beige_books/beige_book_20170301.pdf,,statements/statement_2017-03-15.txt
2017-05-03,MAINTAIN,beige_books/beige_book_20170419.pdf,,statements/statement_2017-05-03.txt
2017-06-14,RAISE,beige_books/beige_book_20170531.pdf,,statements/statement_2017-06-14.txt
2017-07-26,MAINTAIN,beige_books/beige_book_20170712.pdf,,statements/statement_2017-07-26.txt
